127.0.0.1 - - [03/Jan/2020:08:19:39 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:19:40 +0900] "GET /clientweb/html/demoScreen.html HTTP/1.1" 200 230
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:19:40 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:21:54 +0900] "GET /clientweb/html/demoScreen.html HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:22:43 +0900] "GET /clientweb/html/demoScreen.html HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:32:24 +0900] "GET /clientweb/html/demoScreen.html HTTP/1.1" 200 483
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:34:15 +0900] "GET /clientweb/html/demoScreen.html HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:34:33 +0900] "GET /clientweb/html/demoScreen.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:35:55 +0900] "GET /clientweb/html/formTest.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:36:07 +0900] "GET /clientweb/html/demoScreen.html HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:36:53 +0900] "GET /clientweb/html/demoScreen.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:39:28 +0900] "GET /clientweb/html/demoScreen.html HTTP/1.1" 200 561
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:39:49 +0900] "GET /clientweb/html/demoScreen.html HTTP/1.1" 200 552
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:39:53 +0900] "GET /clientweb/html/demoScreen.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:39:54 +0900] "GET /clientweb/html/demoScreen.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:39:54 +0900] "GET /clientweb/html/demoScreen.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:39:55 +0900] "GET /clientweb/html/demoScreen.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:39:55 +0900] "GET /clientweb/html/demoScreen.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:39:55 +0900] "GET /clientweb/html/demoScreen.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:39:55 +0900] "GET /clientweb/html/demoScreen.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:39:56 +0900] "GET /clientweb/html/demoScreen.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:39:56 +0900] "GET /clientweb/html/demoScreen.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:39:56 +0900] "GET /clientweb/html/demoScreen.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:40:05 +0900] "GET /clientweb/html/demoScreen.html HTTP/1.1" 200 561
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:41:04 +0900] "GET /clientweb/html/demoScreen.html HTTP/1.1" 200 551
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:41:28 +0900] "GET /clientweb/html/demoScreen.html HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:45:01 +0900] "GET /clientweb/html/demoScreen.html HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:45:11 +0900] "GET /clientweb/html/demoScreen.html HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:45:56 +0900] "GET /clientweb/html/demoScreen.html HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:45:58 +0900] "GET /clientweb/html/demoScreen.html?myid=&mymail=&myweb=&myinteger=&message=&submit=%C1%A6%C3%E2 HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:48:36 +0900] "GET /clientweb/html/demoScreen.html HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:48:51 +0900] "GET /clientweb/html/demoScreen.html?myid=&mymail=&myweb=&myinteger=&message=&submit=%BC%AD%B9%F6%B7%CE+%C0%FC%BC%DB%C7%CF%B1%E2 HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:48:52 +0900] "GET /clientweb/html/demoScreen.html?myid=&mymail=&myweb=&myinteger=&message=&submit=%BC%AD%B9%F6%B7%CE+%C0%FC%BC%DB%C7%CF%B1%E2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2020:08:48:54 +0900] "GET /clientweb/html/demoScreen.html?myid=ddd&mymail=&myweb=&myinteger=&message=&submit=%BC%AD%B9%F6%B7%CE+%C0%FC%BC%DB%C7%CF%B1%E2 HTTP/1.1" 200 664
