127.0.0.1 - - [09/Jan/2020:08:59:26 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [09/Jan/2020:09:04:59 +0900] "GET /clientweb/js_BOM/bom_exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2020:09:04:59 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [09/Jan/2020:09:23:00 +0900] "GET /clientweb/js_BOM/js_window_test01.html HTTP/1.1" 200 1791
0:0:0:0:0:0:0:1 - - [09/Jan/2020:09:28:24 +0900] "GET /clientweb/js_BOM/js_window_test01.html HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [09/Jan/2020:09:28:36 +0900] "GET /clientweb/js_BOM/js_window_test01.html HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [09/Jan/2020:09:29:25 +0900] "GET /clientweb/js_BOM/js_window_test01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2020:09:30:09 +0900] "GET /clientweb/js_BOM/js_window_test01.html HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [09/Jan/2020:09:30:36 +0900] "GET /clientweb/js_BOM/js_window_test01.html HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [09/Jan/2020:09:33:37 +0900] "GET /clientweb/js_BOM/js_window_test01.html HTTP/1.1" 200 2132
0:0:0:0:0:0:0:1 - - [09/Jan/2020:09:34:50 +0900] "GET /clientweb/js_BOM/js_window_test01.html HTTP/1.1" 200 2139
0:0:0:0:0:0:0:1 - - [09/Jan/2020:09:35:05 +0900] "GET /clientweb/js_BOM/js_window_test01.html HTTP/1.1" 200 2132
0:0:0:0:0:0:0:1 - - [09/Jan/2020:09:35:55 +0900] "GET /clientweb/js_BOM/js_window_test01.html HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [09/Jan/2020:09:37:33 +0900] "GET /clientweb/js_BOM/js_window_test01.html HTTP/1.1" 200 2183
0:0:0:0:0:0:0:1 - - [09/Jan/2020:09:38:35 +0900] "GET /clientweb/js_BOM/js_window_test01.html HTTP/1.1" 200 2255
